region,func,w,lambda_eur,n_open,sum_y_lp,travelcost_multistart,travelcost_lp_relaxation,facilitycost_eur,totalcost_eur,mean_traveltime_min,frac_open,baseline_facilities,baseline_travelcost,on_pareto_frontier
FRL,LINEAR,0.05,5000.00,1534,1534.000,6788365,6788302,7670000,14458365,3.428,10,1024,13129909,True
FRL,LINEAR,0.070711,7071.10,1236,1236.000,8525541,8525474,8739880,17265421,1.6926,4,1024,13129909,True
FRL,LINEAR,0.08409,8409.00,1120,1120.000,9420221,9419706,9418080,18838301,1.8702,12,1024,13129909,True
FRL,LINEAR,0.0917,9170.00,1064,1064.500,9910420,9905707,9756880,19667300,1.9675,7,1024,13129909,True
FRL,LINEAR,0.09576,9576.00,1038,1038.000,10154252,10154145,9939888,20094140,2.0159,4,1024,13129909,True
FRL,LINEAR,0.097857,9785.70,1022,1022.000,10309390,10309282,10000985,20310375,2.0467,4,1024,13129909,True
FRL,LINEAR,0.1,10000.00,1006,1006.000,10498214,10498106,10060000,20558214,2.0801,4,1024,13129909,True
FRL,LINEAR,0.1,10000.00,1006,1006.000,10498214,10498106,10060000,20558214,2.0801,4,1024,13129909,True
FRL,LINEAR,0.12721,12721.00,849,849.000,12253442,12252063,10800129,23053571,2.4327,16,1024,13129909,True
FRL,LINEAR,0.13584,13584.00,803,803.000,12860143,12858616,10907952,23768095,2.5531,16,1024,13129909,True
FRL,LINEAR,0.14037,14037.00,792,791.500,13012446,13017810,11117304,24129750,2.5834,15,1024,13129909,True
FRL,LINEAR,0.14142,14142.00,786,785.500,13131440,13136805,11115612,24247052,4.9247,15,1024,13129909,True
FRL,LINEAR,0.14152,14152.00,784,783.500,13125238,13130602,11095168,24220406,2.6057,15,1024,13129909,False
FRL,LINEAR,0.14269,14269.00,780,779.500,13181672,13187391,11129820,24311492,2.6169,15,1024,13129909,True
FRL,LINEAR,0.14505,14505.00,766,766.500,13383142,13374510,11110830,24493972,2.6569,19,1024,13129909,True
FRL,LINEAR,0.16538,16538.00,709,709.000,14265397,14264944,11725442,25990839,2.8321,18,1024,13129909,True
FRL,LINEAR,0.2,20000.00,618,617.500,15957884,15966416,12360000,28317884,5.9419,23,1024,13129909,True
FRL,LINEAR,0.5,50000.00,316,316.080,25312245,25181443,15800000,41112245,7.4429,125,1024,13129909,True
FRL,LINEAR,1,100000.00,218,217.980,39378445,31761571,21800000,61178445,11.2671,286,1024,13129909,True
FRL,LINEAR,2,200000.00,189,188.510,57154976,35703355,37800000,94954976,13.7691,589,1024,13129909,True
FRL,LINEAR,5,500000.00,168,167.910,64952986,42094648,84000000,148952986,17.987,505,1024,13129909,True
FRL,LOGISTIC,0.0001,10.00,3435,3435.000,402307,402307,34350,436657,1.7939,0,1024,514382,True
FRL,LOGISTIC,0.0002,20.00,2480,2479.500,416002,416010,49600,465602,2.4718,19,1024,514382,True
FRL,LOGISTIC,0.0005,50.00,1498,1498.000,447286,447283,74900,522186,3.4393,6,1024,514382,True
FRL,LOGISTIC,0.00070711,70.71,1226,1226.500,462459,462423,86692,549151,1.7226,7,1024,514382,True
FRL,LOGISTIC,0.0008409,84.09,1112,1112.500,471301,471257,93508,564809,1.9038,3,1024,514382,True
FRL,LOGISTIC,0.000917,91.70,1057,1057.000,476139,476129,96927,573066,2.0031,6,1024,514382,True
FRL,LOGISTIC,0.0009576,95.76,1032,1032.500,478478,478422,98824,577302,2.0467,9,1024,514382,True
FRL,LOGISTIC,0.00096803,96.80,1026,1026.500,479055,478999,99320,578375,2.0587,15,1024,514382,True
FRL,LOGISTIC,0.00097329,97.33,1021,1021.000,479541,479533,99373,578914,2.0672,14,1024,514382,True
FRL,LOGISTIC,0.00097857,97.86,1020,1020.000,479638,479631,99814,579452,2.0694,14,1024,514382,True
FRL,LOGISTIC,0.001,100.00,1006,1006.500,482128,482066,100600,582728,2.0969,41,1024,514382,True
FRL,LOGISTIC,0.001,100.00,1006,1006.500,482128,482066,100600,582728,2.0969,41,1024,514382,True
FRL,LOGISTIC,0.0012584,125.84,853,853.000,498187,498182,107342,605529,2.446,16,1024,514382,True
FRL,LOGISTIC,0.0014142,141.42,788,787.830,508011,508012,111439,619450,4.7623,33,1024,514382,True
FRL,LOGISTIC,0.0014348,143.48,786,785.830,507151,507152,112775,619926,2.6238,33,1024,514382,False
FRL,LOGISTIC,0.0015321,153.21,753,752.670,512056,512086,115367,627423,2.7225,26,1024,514382,True
FRL,LOGISTIC,0.0015422,154.22,751,751.170,513526,513474,115819,629345,4.9907,31,1024,514382,True
FRL,LOGISTIC,0.0015832,158.32,735,735.170,514867,514818,116365,631232,2.7795,33,1024,514382,True
